City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
12,Richards Bay,ZA,77.52,-28.783,32.0377,BON Hotel Waterfront Richards Bay
21,Salto De Agua,MX,86.0,17.6167,-92.3667,
24,Acarau,BR,80.35,-2.8856,-40.12,castelo pizzaria
28,Navrongo,GH,78.19,10.8956,-1.0921,Azakka Hotel
35,Sawtell,AU,78.01,-30.3833,153.1,Island Beach House Sawtell
42,Touros,BR,80.6,-5.1989,-35.4608,INN NEW HORIZON
43,Atuona,PF,78.98,-9.8,-139.0333,Villa Enata
46,Conde,BR,80.6,-7.2597,-34.9075,Pousada Beija Flor
51,Hithadhoo,MV,82.2,-0.6,73.0833,Scoop Guest House
52,Rikitea,PF,79.25,-23.1203,-134.9692,Pension Maro'i
55,Port Keats,AU,76.24,-14.25,129.55,TDC Village (Hundred Man Camp)
60,Bowen,AU,77.0,-20.0167,148.2333,Castle Motor Lodge Motel
61,Puerto Ayora,EC,84.2,-0.7393,-90.3518,Castillo Galapagos
64,Kapaa,US,78.8,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
65,Fort-De-France,MQ,78.8,14.6089,-61.0733,Patio Gallieni
75,Lorengau,PG,83.73,-2.0226,147.2712,Lorengau Harbourside Hotel
77,Kavieng,PG,84.02,-2.5744,150.7967,Nusa Island Retreat
80,Ampanihy,MG,77.63,-24.7,44.75,Angora Hotel
83,Vaini,TO,78.8,-21.2,-175.2,Keleti Beach Resort
87,Saint-Joseph,RE,80.6,-21.3667,55.6167,"""Plantation Bed and Breakfast"
90,Labuhan,ID,77.61,-6.8844,112.2051,PT PPI Lamongan Tambak C
91,Faanui,PF,81.54,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Butaritari,KI,80.65,3.0707,172.7902,Isles Sunset Lodge
95,Bagotville,AU,78.8,-28.9833,153.4167,Broadwater Sunrise Caravan Park
101,Port Blair,IN,78.21,11.6667,92.75,Welcomhotel Bay Island Port Blair
102,Ailigandi,PA,79.56,9.2333,-78.0167,Akwa Reef Lodge
103,Isangel,VU,78.8,-19.55,169.2667,Volcano Sea View Tree House
108,Makaha,US,82.4,21.4694,-158.2175,Hawaiian Princess Resort
113,Arraial Do Cabo,BR,78.8,-22.9661,-42.0278,Pousada Porto Praia
118,Bontang,ID,76.39,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
120,Vallenar,CL,76.68,-28.5708,-70.7581,Humacao Bed & Breakfast
134,Axim,GH,79.52,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
136,Avarua,CK,77.0,-21.2078,-159.775,Paradise Inn
138,Pundaguitan,PH,80.06,6.3711,126.1689,Leonardo Family Beach House 1
140,Bambous Virieux,MU,80.6,-20.3428,57.7575,Casa Tia Villa
142,Siocon,PH,78.01,7.7061,122.1353,ABS Hotel
144,Cabedelo,BR,80.6,-6.9811,-34.8339,Hotel Pigalle
150,Bubaque,GW,78.66,11.2833,-15.8333,"Casa Dora, Bubaque"
157,Geraldton,AU,80.6,-28.7667,114.6,Broadwater Mariner Resort
