City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,14.0,67,75,3.53,GL,2021-01-31 22:35:25
1,Port Elizabeth,-33.918,25.5701,71.6,73,40,21.85,ZA,2021-01-31 22:33:21
2,Bredasdorp,-34.5322,20.0403,63.0,83,99,1.99,ZA,2021-01-31 22:35:26
3,Hermanus,-34.4187,19.2345,63.0,83,91,1.99,ZA,2021-01-31 22:33:24
4,Ust-Nera,64.5667,143.2,-29.24,74,99,7.4,RU,2021-01-31 22:35:26
5,Klaksvik,62.2266,-6.589,23.0,86,100,1.14,FO,2021-01-31 22:35:26
6,Haines Junction,60.7522,-137.5108,1.4,78,92,5.75,CA,2021-01-31 22:33:22
7,Yellowknife,62.456,-114.3525,-4.0,77,75,4.61,CA,2021-01-31 22:35:01
8,Bluff,-46.6,168.3333,59.77,74,77,3.27,NZ,2021-01-31 22:30:54
9,Sunndalsora,62.6754,8.5515,32.0,93,90,3.44,NO,2021-01-31 22:35:27
10,Zhigansk,66.7697,123.3711,-45.87,76,33,1.12,RU,2021-01-31 22:35:27
11,Barrow,71.2906,-156.7887,-20.2,76,40,10.36,US,2021-01-31 22:35:27
12,Richards Bay,-28.783,32.0377,77.52,89,95,8.01,ZA,2021-01-31 22:33:38
13,Ahipara,-35.1667,173.1667,71.62,51,0,6.11,NZ,2021-01-31 22:33:57
14,Ushuaia,-54.8,-68.3,53.6,62,75,8.05,AR,2021-01-31 22:34:17
15,Batemans Bay,-35.7167,150.1833,71.01,82,62,5.01,AU,2021-01-31 22:35:28
16,Albany,42.6001,-73.9662,17.01,52,100,2.59,US,2021-01-31 22:35:28
17,Lianzhou,24.7811,112.3825,57.25,59,59,2.17,CN,2021-01-31 22:35:28
18,Punta Arenas,-53.15,-70.9167,53.6,66,0,20.71,CL,2021-01-31 22:35:28
19,Busselton,-33.65,115.3333,64.0,81,0,7.0,AU,2021-01-31 22:33:22
20,Thompson,55.7435,-97.8558,14.0,85,75,1.41,CA,2021-01-31 22:35:29
21,Salto De Agua,17.6167,-92.3667,86.0,62,40,5.08,MX,2021-01-31 22:35:29
22,Vila,42.0304,-8.1588,51.01,93,100,18.99,PT,2021-01-31 22:35:29
23,Lata,40.1629,-8.3327,57.99,93,83,8.14,PT,2021-01-31 22:33:42
24,Acarau,-2.8856,-40.12,80.35,82,16,16.73,BR,2021-01-31 22:35:29
25,Portland,45.5234,-122.6762,54.0,81,90,11.5,US,2021-01-31 22:35:15
26,Warrnambool,-38.3833,142.4833,60.46,71,100,5.03,AU,2021-01-31 22:35:30
27,Ushtobe,45.2514,77.9838,23.49,84,99,2.51,KZ,2021-01-31 22:35:30
28,Navrongo,10.8956,-1.0921,78.19,16,16,8.32,GH,2021-01-31 22:35:30
29,Mar Del Plata,-38.0023,-57.5575,64.99,68,75,12.66,AR,2021-01-31 22:35:19
30,Qaanaaq,77.484,-69.3632,-4.49,88,100,1.36,GL,2021-01-31 22:35:31
31,Upernavik,72.7868,-56.1549,2.43,93,100,8.23,GL,2021-01-31 22:35:31
32,Lompoc,34.6391,-120.4579,64.4,32,1,3.44,US,2021-01-31 22:35:31
33,Sept-Iles,50.2001,-66.3821,26.6,59,59,8.05,CA,2021-01-31 22:35:32
34,Coquimbo,-29.9533,-71.3436,69.8,78,40,11.5,CL,2021-01-31 22:30:42
35,Sawtell,-30.3833,153.1,78.01,78,40,3.44,AU,2021-01-31 22:35:32
36,Panzhihua,26.5851,101.7128,39.99,70,0,0.87,CN,2021-01-31 22:35:32
37,Yabelo,4.8833,38.0833,59.04,39,23,17.96,ET,2021-01-31 22:35:32
38,Aklavik,68.2191,-135.0107,-20.2,76,100,5.75,CA,2021-01-31 22:35:33
39,Meridian,43.6121,-116.3915,52.0,32,1,21.85,US,2021-01-31 22:35:33
40,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,75,2.3,CA,2021-01-31 22:35:33
41,Nikolskoye,59.7035,30.7861,26.6,86,90,6.71,RU,2021-01-31 22:35:33
42,Touros,-5.1989,-35.4608,80.6,74,20,9.22,BR,2021-01-31 22:33:29
43,Atuona,-9.8,-139.0333,78.98,75,32,16.78,PF,2021-01-31 22:35:34
44,Vostok,46.4856,135.8833,0.52,94,100,3.4,RU,2021-01-31 22:35:34
45,Sorso,40.8,8.5772,57.2,77,0,11.5,IT,2021-01-31 22:35:34
46,Conde,-7.2597,-34.9075,80.6,78,20,8.05,BR,2021-01-31 22:34:26
47,Ilulissat,69.2167,-51.1,6.8,56,83,9.22,GL,2021-01-31 22:35:34
48,Half Moon Bay,37.4636,-122.4286,63.0,42,75,4.61,US,2021-01-31 22:35:35
49,Victoria,22.2855,114.1577,64.99,80,42,1.01,HK,2021-01-31 22:35:35
50,Nome,64.5011,-165.4064,1.0,60,1,4.61,US,2021-01-31 22:35:35
51,Hithadhoo,-0.6,73.0833,82.2,77,75,13.33,MV,2021-01-31 22:32:53
52,Rikitea,-23.1203,-134.9692,79.25,62,29,7.14,PF,2021-01-31 22:35:36
53,Bafra,41.5678,35.9069,57.2,41,0,13.8,TR,2021-01-31 22:35:36
54,Dunedin,-45.8742,170.5036,62.62,66,100,5.59,NZ,2021-01-31 22:32:32
