City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Norilsk,69.3535,88.2027,-26.07,73,57,8.7,RU,2021-01-31 18:13:41
1,Bredasdorp,-34.5322,20.0403,66.0,91,37,5.01,ZA,2021-01-31 18:13:41
2,Hami,42.8,93.45,25.48,79,7,7.27,CN,2021-01-31 18:13:42
3,Jamestown,42.097,-79.2353,30.99,74,90,14.97,US,2021-01-31 18:13:42
4,Aldan,58.6031,125.3894,-46.95,78,100,1.66,RU,2021-01-31 18:13:42
5,Soubre,5.7856,-6.6083,87.22,57,50,5.53,CI,2021-01-31 18:13:43
6,Rikitea,-23.1203,-134.9692,78.71,66,11,9.4,PF,2021-01-31 18:13:44
7,Georgetown,5.4112,100.3354,80.6,83,20,6.91,MY,2021-01-31 18:08:59
8,Castro,-24.7911,-50.0119,73.36,75,98,10.51,BR,2021-01-31 18:10:23
9,Saldanha,-33.0117,17.9442,66.56,89,28,6.31,ZA,2021-01-31 18:08:59
10,Qasigiannguit,68.8193,-51.1922,8.6,52,90,21.85,GL,2021-01-31 18:13:45
11,Port Macquarie,-31.4333,152.9167,69.01,99,67,4.09,AU,2021-01-31 18:09:00
12,Albany,42.6001,-73.9662,18.0,52,99,3.65,US,2021-01-31 18:10:06
13,Samarkand,39.6542,66.9597,50.0,66,90,4.61,UZ,2021-01-31 18:13:46
14,Dikson,73.5069,80.5464,-27.85,78,35,8.7,RU,2021-01-31 18:09:00
15,Ibb,13.9667,44.1833,62.96,62,6,1.72,YE,2021-01-31 18:13:46
16,Nome,64.5011,-165.4064,-5.8,59,1,8.05,US,2021-01-31 18:09:01
17,La Ronge,55.1001,-105.2842,14.0,85,48,3.44,CA,2021-01-31 18:09:01
18,Tura,25.5198,90.2201,53.71,41,0,1.66,IN,2021-01-31 18:13:47
19,Aksarka,66.5606,67.7975,-14.58,89,93,8.08,RU,2021-01-31 18:13:48
